Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","t","1823000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2021","2021","t","2276000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01343","Apricots","2021","2021","t","15933.06","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01379.01","Areca nuts","2021","2021","t","1563000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2021","2021","t","33062000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0115","Barley","2021","2021","t","1656340","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01701","Beans, dry","2021","2021","t","7454701.48","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","24310.01","Beer of barley, malted","2021","2021","t","2204400","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","356","India","5510","Production","01212","Cabbages","2021","2021","t","9560000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01229","Cantaloupes and other melons","2021","2021","t","1478000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01251","Carrots and turnips","2021","2021","t","1884564.49","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01372","Cashew nuts, in shell","2021","2021","t","738000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01520.01","Cassava, fresh","2021","2021","t","6941000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01447","Castor oil seeds","2021","2021","t","1618760","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01213","Cauliflowers and broccoli","2021","2021","t","9225000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01344.02","Cherries","2021","2021","t","10121.24","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01703","Chick peas, dry","2021","2021","t","11911180","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","t","2049000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","t","4926144.35","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01640","Cocoa beans","2021","2021","t","27000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","2166","Coconut oil","2021","2021","t","556000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01460","Coconuts, in shell","2021","2021","t","14301000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01610","Coffee, green","2021","2021","t","334000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01929.08","Coir, raw","2021","2021","t","1122000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01921.02","Cotton lint, ginned","2021","2021","t","5992160","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0143","Cotton seed","2021","2021","t","11200000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","356","India","5510","Production","2168","Cottonseed oil","2021","2021","t","1078000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01232","Cucumbers and gherkins","2021","2021","t","1651915.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01233","Eggplants (aubergines)","2021","2021","t","12874000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01315","Figs","2021","2021","t","14697.07","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01657","Ginger, raw","2021","2021","t","2225000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01330","Grapes","2021","2021","t","3358000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01252","Green garlic","2021","2021","t","3190000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","23913","Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg","2021","2021","t","1348748","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","2162","Groundnut oil","2021","2021","t","2299000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0142","Groundnuts, excluding shelled","2021","2021","t","10150062.65","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01922.01","Jute, raw or retted","2021","2021","t","1611540","A","Official figure",""
